Teljestmény,,1.95,,1.65,,1.25,,1.04,,1.00,,1.09,,1.33,,1.72,,4.00,1600,23,Watt,
Ár,,,1.62,,1.45,,1.19,,1.03,,1.00,,1.04,,1.25,,1.48,1.00,400,,400,
Számla,Tető,,,,,,,,,,,,,,,,,,,,,
37.56,,Észak,,Észak-kelet,,Kelet,,Dél-kelet,,Dél,,Dél-nyugat,,Nyugat,,Észak-nyugat,,,CO2 csökkentés,Fa CO2 megkötés,,
,,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,,,,,
5751,földön,9.93,"4,010,058 Ft",8.40,"3,600,281 Ft",6.33,"2,951,843 Ft",5.30,"2,563,107 Ft",5.08,"2,481,278 Ft",5.55,"2,588,808 Ft",6.76,"3,091,964 Ft",8.73,"3,672,988 Ft",,2032,29,,
18500,ferde,10.20,"3,645,507 Ft",8.64,"3,272,982 Ft",6.51,"2,683,494 Ft",5.44,"2,330,097 Ft",5.22,"2,255,707 Ft",5.70,"2,353,462 Ft",6.95,"2,810,876 Ft",8.97,"3,339,079 Ft",,2088,30,,
492.5,lapos,10.20,"3,973,603 Ft",8.64,"3,567,551 Ft",6.51,"2,925,008 Ft",5.44,"2,539,807 Ft",5.22,"2,458,721 Ft",5.70,"2,565,274 Ft",6.95,"3,063,855 Ft",8.97,"3,639,597 Ft",,2088,30,,
5911,földön,10.20,"4,010,058 Ft",8.64,"3,600,281 Ft",6.51,"2,951,843 Ft",5.44,"2,563,107 Ft",5.22,"2,481,278 Ft",5.70,"2,588,808 Ft",6.95,"3,091,964 Ft",8.97,"3,672,988 Ft",,2088,30,,
19000,ferde,10.48,"3,645,507 Ft",8.87,"3,272,982 Ft",6.68,"2,683,494 Ft",5.59,"2,330,097 Ft",5.36,"2,255,707 Ft",5.86,"2,353,462 Ft",7.13,"2,810,876 Ft",9.21,"3,339,079 Ft",,2144,31,,
505.9,lapos,10.48,"3,973,603 Ft",8.87,"3,567,551 Ft",6.68,"2,925,008 Ft",5.59,"2,539,807 Ft",5.36,"2,458,721 Ft",5.86,"2,565,274 Ft",7.13,"3,063,855 Ft",9.21,"3,639,597 Ft",,2144,31,,
6070,földön,10.48,"4,010,058 Ft",8.87,"3,600,281 Ft",6.68,"2,951,843 Ft",5.59,"2,563,107 Ft",5.36,"2,481,278 Ft",5.86,"2,588,808 Ft",7.13,"3,091,964 Ft",9.21,"3,672,988 Ft",,2144,31,,
19500,ferde,10.75,"3,999,547 Ft",9.10,"3,590,844 Ft",6.85,"2,944,106 Ft",5.73,"2,556,389 Ft",5.50,"2,474,774 Ft",6.01,"2,582,023 Ft",7.32,"3,083,859 Ft",9.45,"3,663,360 Ft",,2200,32,,
519.2,lapos,10.75,"4,359,506 Ft",9.10,"3,914,020 Ft",6.85,"3,209,076 Ft",5.73,"2,786,464 Ft",5.50,"2,697,504 Ft",6.01,"2,814,405 Ft",7.32,"3,361,407 Ft",9.45,"3,993,063 Ft",,2200,32,,
6230,földön,10.75,"4,399,501 Ft",9.10,"3,949,928 Ft",6.85,"3,238,516 Ft",5.73,"2,812,027 Ft",5.50,"2,722,251 Ft",6.01,"2,840,224 Ft",7.32,"3,392,245 Ft",9.45,"4,029,695 Ft",,2200,32,,
20000,ferde,11.02,"3,999,547 Ft",9.33,"3,590,844 Ft",7.03,"2,944,106 Ft",5.88,"2,556,389 Ft",5.64,"2,474,774 Ft",6.16,"2,582,023 Ft",7.51,"3,083,859 Ft",9.69,"3,663,360 Ft",,2256,32,,
532.5,lapos,11.02,"4,359,506 Ft",9.33,"3,914,020 Ft",7.03,"3,209,076 Ft",5.88,"2,786,464 Ft",5.64,"2,697,504 Ft",6.16,"2,814,405 Ft",7.51,"3,361,407 Ft",9.69,"3,993,063 Ft",,2256,32,,
6390,földön,11.02,"4,399,501 Ft",9.33,"3,949,928 Ft",7.03,"3,238,516 Ft",5.88,"2,812,027 Ft",5.64,"2,722,251 Ft",6.16,"2,840,224 Ft",7.51,"3,392,245 Ft",9.69,"4,029,695 Ft",,2256,32,,
20500,ferde,11.30,"3,999,547 Ft",9.56,"3,590,844 Ft",7.20,"2,944,106 Ft",6.03,"2,556,389 Ft",5.78,"2,474,774 Ft",6.31,"2,582,023 Ft",7.69,"3,083,859 Ft",9.93,"3,663,360 Ft",,2312,33,,
545.8,lapos,11.30,"4,359,506 Ft",9.56,"3,914,020 Ft",7.20,"3,209,076 Ft",6.03,"2,786,464 Ft",5.78,"2,697,504 Ft",6.31,"2,814,405 Ft",7.69,"3,361,407 Ft",9.93,"3,993,063 Ft",,2312,33,,
6550,földön,11.30,"4,399,501 Ft",9.56,"3,949,928 Ft",7.20,"3,238,516 Ft",6.03,"2,812,027 Ft",5.78,"2,722,251 Ft",6.31,"2,840,224 Ft",7.69,"3,392,245 Ft",9.93,"4,029,695 Ft",,2312,33,,
21000,ferde,11.59,"3,999,547 Ft",9.81,"3,590,844 Ft",7.39,"2,944,106 Ft",6.18,"2,556,389 Ft",5.93,"2,474,774 Ft",6.48,"2,582,023 Ft",7.89,"3,083,859 Ft",10.19,"3,663,360 Ft",,2372,34,,
559.1,lapos,11.59,"4,359,506 Ft",9.81,"3,914,020 Ft",7.39,"3,209,076 Ft",6.18,"2,786,464 Ft",5.93,"2,697,504 Ft",6.48,"2,814,405 Ft",7.89,"3,361,407 Ft",10.19,"3,993,063 Ft",,2372,34,,
6709,földön,11.59,"4,399,501 Ft",9.81,"3,949,928 Ft",7.39,"3,238,516 Ft",6.18,"2,812,027 Ft",5.93,"2,722,251 Ft",6.48,"2,840,224 Ft",7.89,"3,392,245 Ft",10.19,"4,029,695 Ft",,2372,34,,
21500,ferde,11.86,"4,272,539 Ft",10.04,"3,835,940 Ft",7.56,"3,145,058 Ft",6.33,"2,730,878 Ft",6.07,"2,643,692 Ft",6.63,"2,758,261 Ft",8.08,"3,294,351 Ft",10.43,"3,913,406 Ft",,2428,35,,
